,word,frequency
132,think,78
266,student,73
244,like,67
230,go,53
459,teacher,38
551,question,35
624,convers,32
561,would,30
301,school,29
449,learn,29
166,class,27
573,import,27
300,make,25
679,classroom,25
530,want,25
96,one,23
428,realli,22
389,get,22
404,see,21
119,feel,20
54,time,20
169,teach,19
208,said,19
32,skill,19
164,thank,18
457,know,18
463,good,18
532,someth,18
486,also,18
242,speaker,17
155,differ,17
243,part,17
456,work,17
273,1,17
475,way,17
566,educ,16
402,futur,16
678,alway,16
228,lot,15
577,main,15
103,ask,14
440,give,14
652,abl,14
471,experi,13
120,use,13
182,talk,13
256,life,13
214,next,13
277,need,12
74,well,12
124,come,12
399,peopl,12
330,agre,12
345,share,12
591,us,11
190,help,11
461,could,11
439,succeed,11
102,kind,11
196,silenc,11
383,put,11
493,sure,11
671,chang,11
649,okay,10
198,group,10
628,thing,10
533,chat,10
317,thought,10
469,anyth,10
1,support,10
513,everyon,10
585,someon,10
142,made,10
394,mayb,10
438,build,10
645,listen,9
484,take,9
247,move,9
245,add,9
117,around,9
134,say,9
641,might,9
665,grade,9
609,actual,9
676,much,9
500,stay,8
170,year,8
498,first,8
377,evolv,8
611,today,8
630,commun,8
579,mean,8
67,even,8
25,set,8
294,technolog,8
49,email,8
47,voic,8
552,two,8
516,best,7
462,new,7
168,leav,7
322,stuff,7
346,follow,7
465,back,7
393,better,7
603,understand,7
2,definit,7
600,friend,7
435,start,7
434,everi,7
528,dig,6
526,care,6
391,show,6
629,els,6
596,day,6
315,creat,6
390,opportun,6
308,interest,6
189,job,6
178,lesson,6
148,especi,6
643,minut,6
115,high,6
605,everyth,6
112,system,6
420,extra,6
545,littl,6
305,expect,6
441,look,6
606,yeah,5
604,particip,5
146,goe,5
97,call,5
78,bring,5
105,10,5
224,capac,5
35,k,5
181,citizen,5
564,econom,5
133,invit,5
216,instead,5
309,outsid,5
311,guess,5
565,lvn,5
320,success,5
276,12,5
191,collect,5
171,becom,4
470,name,4
150,top,4
307,keep,4
351,assign,4
289,home,4
477,passion,4
367,posit,4
479,never,4
680,happi,4
6,type,4
3,person,4
200,continu,4
162,focu,4
537,got,4
240,other,4
549,tool,4
446,habit,4
61,record,4
653,pbe,4
316,period,4
483,base,4
109,action,4
107,gener,4
455,gain,4
77,happen,4
79,heard,4
398,right,4
582,forum,4
443,cortico,4
548,incorpor,4
147,essenc,4
264,respect,4
572,benefit,4
547,ed,4
621,anoth,4
464,counti,4
587,kid,4
466,data,4
332,hear,3
212,join,3
571,project,3
249,respond,3
540,explain,3
209,rememb,3
265,org,3
546,tough,3
246,foundat,3
597,mission,3
288,exampl,3
555,taught,3
298,thrive,3
283,bad,3
348,servic,3
297,intent,3
285,sit,3
312,sub,3
337,great,3
344,inform,3
291,discuss,3
327,pleas,3
303,hour,3
206,differenti,3
642,anyon,3
71,deepli,3
76,idea,3
81,microphon,3
82,remind,3
495,mile,3
85,disabl,3
433,chanc,3
506,critic,3
91,place,3
93,flyer,3
360,prompt,3
95,math,3
101,interact,3
104,involv,3
448,thread,3
450,mental,3
48,practic,3
460,hard,3
43,welcom,3
661,tradit,3
39,tri,3
467,failur,3
29,answer,3
28,sinc,3
670,unmut,3
473,timeless,3
20,learner,3
18,obvious,3
675,beyond,3
12,basic,3
4,bit,3
504,adulthood,3
94,younger,3
382,major,3
620,valu,3
524,interview,3
159,ahead,3
522,stori,3
195,offic,3
149,audio,3
395,child,3
397,three,3
183,appreci,3
179,order,3
373,state,3
515,balanc,3
374,mistak,3
163,purpos,3
379,receiv,3
313,realiz,2
372,word,2
542,meet,2
314,excit,2
411,social,2
370,done,2
310,model,2
529,attent,2
453,speak,2
488,tougher,2
352,transcript,2
474,survey,2
364,overal,2
354,ensur,2
487,focus,2
363,explicitli,2
481,given,2
534,diagnos,2
454,age,2
447,deeper,2
452,style,2
451,door,2
508,gather,2
410,activ,2
408,morn,2
503,redact,2
334,district,2
333,ago,2
401,may,2
429,solv,2
328,sens,2
556,research,2
339,live,2
326,pass,2
325,famili,2
340,sport,2
494,fifth,2
323,miss,2
381,without,2
318,analyz,2
491,provid,2
412,smaller,2
380,upload,2
521,earlier,2
0,whole,2
140,lip,2
63,easier,2
66,section,2
65,begin,2
617,respons,2
165,hall,2
167,paper,2
616,member,2
615,aspect,2
64,big,2
614,versu,2
613,tomorrow,2
62,open,2
154,instruct,2
608,univers,2
187,perfectli,2
188,pick,2
194,money,2
199,english,2
56,reflect,2
110,topic,2
204,world,2
205,rais,2
207,circl,2
157,develop,2
622,transcrib,2
657,perspect,2
644,explor,2
113,close,2
114,essenti,2
106,pattern,2
99,provinc,2
636,cater,2
635,gave,2
90,super,2
125,publicli,2
88,local,2
127,request,2
128,growth,2
151,phi,2
129,bye,2
75,sorri,2
138,hire,2
73,prepar,2
625,health,2
558,accur,2
143,public,2
648,problem,2
69,submit,2
145,goal,2
52,fraction,2
203,per,2
658,harder,2
578,network,2
576,alreadi,2
24,nice,2
255,coupl,2
23,five,2
262,read,2
263,studi,2
268,energi,2
269,connect,2
673,lectur,2
674,plan,2
15,human,2
13,tell,2
11,phone,2
567,away,2
278,far,2
279,understood,2
284,platform,2
286,adult,2
287,script,2
290,decad,2
560,last,2
252,felt,2
257,pretti,2
590,late,2
233,besid,2
42,2050,2
40,necessarili,2
660,find,2
225,long,2
44,mind,2
666,fail,2
220,improv,2
586,walk,2
236,resili,2
485,hunter,1
499,leader,1
656,staff,1
639,theme,1
490,institut,1
655,realiti,1
501,greet,1
640,particular,1
497,lead,1
496,modifi,1
681,lift,1
502,brunswick,1
669,enforc,1
662,eager,1
677,knowledg,1
492,observ,1
654,timelin,1
646,reteach,1
647,bonu,1
663,hinder,1
651,adhd,1
664,intern,1
667,discov,1
672,forgiv,1
659,possibl,1
650,card,1
489,near,1
668,rather,1
638,love,1
557,report,1
505,account,1
637,healthier,1
539,co,1
601,seem,1
599,retain,1
541,effici,1
598,monday,1
595,comment,1
543,process,1
594,polici,1
544,grate,1
593,game,1
592,attribut,1
589,colleg,1
588,reinforc,1
584,extend,1
583,tie,1
580,lost,1
550,mainstream,1
575,review,1
574,final,1
570,natur,1
553,box,1
569,search,1
554,metacognit,1
568,ever,1
563,45,1
562,whenev,1
559,worri,1
538,matter,1
536,wonder,1
535,powerpoint,1
627,weekend,1
507,oftentim,1
509,list,1
510,industri,1
511,prep,1
512,feedback,1
634,flow,1
633,background,1
632,older,1
514,end,1
631,skip,1
517,elementari,1
518,run,1
626,key,1
602,equal,1
519,introduc,1
520,accord,1
623,mindset,1
523,link,1
525,introduct,1
619,aw,1
618,note,1
527,isl,1
612,least,1
610,satisfi,1
607,pre,1
531,enough,1
581,includ,1
341,resourc,1
482,cours,1
184,starter,1
177,current,1
176,transform,1
175,reason,1
174,meant,1
173,own,1
172,quiz,1
161,choos,1
160,media,1
158,pursu,1
156,struggl,1
153,assess,1
152,smartboard,1
144,center,1
141,implement,1
139,moment,1
137,choic,1
136,market,1
135,web,1
131,pictur,1
130,entir,1
126,snippet,1
180,consider,1
185,toward,1
122,notic,1
186,transit,1
234,write,1
232,lay,1
231,issu,1
229,friendship,1
227,whose,1
226,front,1
223,uniqu,1
222,mani,1
221,divers,1
219,stuck,1
218,let,1
217,penobscot,1
215,half,1
213,point,1
211,hallway,1
210,identifi,1
202,strategi,1
201,deal,1
197,lavishli,1
193,almost,1
192,pane,1
123,easi,1
121,french,1
237,youth,1
46,onlin,1
41,stood,1
38,joke,1
37,up,1
36,foster,1
34,motiv,1
33,kept,1
31,suppos,1
30,hurt,1
27,yet,1
26,neg,1
22,score,1
21,channel,1
19,stress,1
17,roughli,1
16,log,1
14,wall,1
10,click,1
9,probabl,1
8,refer,1
7,went,1
5,downtown,1
45,presqu,1
50,suffici,1
118,video,1
51,feed,1
116,hold,1
111,challeng,1
108,materi,1
100,within,1
98,caught,1
92,maker,1
89,still,1
87,send,1
86,limit,1
84,certain,1
83,program,1
80,took,1
72,navig,1
70,forward,1
68,larger,1
60,rose,1
59,wrong,1
58,compon,1
57,avail,1
55,se,1
53,mr,1
235,broadli,1
238,everyday,1
480,imposs,1
416,combin,1
414,updat,1
413,effort,1
409,sponsor,1
407,check,1
406,discard,1
405,saw,1
403,fine,1
400,allow,1
396,environ,1
392,ea,1
388,regardless,1
387,present,1
386,second,1
385,po,1
384,welfar,1
378,stock,1
376,healthi,1
375,warm,1
371,display,1
369,role,1
368,sphere,1
415,spice,1
417,attain,1
365,grow,1
418,throughout,1
478,zero,1
476,eight,1
472,funni,1
468,calgari,1
458,consent,1
445,laptop,1
444,tissu,1
442,quick,1
437,acquir,1
436,pair,1
432,engag,1
431,align,1
430,address,1
427,rear,1
426,fulli,1
425,punish,1
424,team,1
423,openli,1
422,product,1
421,pull,1
419,wrap,1
366,act,1
362,chromebook,1
239,oh,1
296,free,1
293,agreement,1
292,lose,1
282,perhap,1
281,though,1
280,direct,1
275,wherea,1
274,relearn,1
272,comput,1
271,boil,1
270,children,1
267,law,1
261,delet,1
260,turn,1
259,access,1
258,guid,1
254,soon,1
253,lone,1
251,seven,1
250,hous,1
248,calculu,1
241,round,1
295,worker,1
299,separ,1
361,grammar,1
302,relat,1
359,vibe,1
358,option,1
357,aroostook,1
356,fluctuat,1
355,facilit,1
353,comfort,1
350,color,1
349,meal,1
347,club,1
343,sentenc,1
342,effect,1
338,later,1
336,behavior,1
335,mention,1
331,extracurricular,1
329,attend,1
324,diagnosi,1
321,greatli,1
319,quiet,1
306,cross,1
304,financi,1
682,bore,1
