,word,frequency
578,think,70
411,educ,63
816,want,62
584,need,57
250,go,52
614,student,52
548,realli,45
460,see,43
190,convers,42
537,like,36
538,get,34
68,main,32
775,thank,32
22,learn,32
759,peopl,32
643,us,31
444,help,30
740,know,30
253,one,29
255,kid,29
69,school,29
304,thing,28
453,come,27
283,sure,27
522,support,26
722,teacher,25
366,question,25
225,make,25
558,yeah,23
142,say,23
426,also,22
90,share,22
687,would,22
213,lot,21
649,differ,21
799,feel,20
245,commun,20
305,work,20
571,right,18
581,time,18
215,look,18
409,year,18
406,futur,17
258,group,16
169,much,16
791,abl,16
128,ask,16
502,littl,16
793,well,15
66,understand,15
345,teach,15
489,let,15
859,way,15
8,part,15
62,someth,14
107,next,14
54,mani,14
717,said,14
0,actual,13
325,start,13
234,put,13
666,program,13
139,bit,13
308,project,13
288,import,12
568,use,12
394,career,12
160,join,11
560,bring,11
583,chat,11
731,high,10
280,talk,10
613,industri,10
705,famili,10
115,leader,10
437,particip,10
487,move,10
644,opportun,10
484,everyon,10
703,hear,10
371,person,9
520,gener,9
833,mayb,9
606,okay,9
17,grade,9
794,good,9
699,anyon,9
856,individu,9
26,chang,8
343,tri,8
674,relev,8
815,idea,8
243,add,8
843,interest,8
452,give,8
40,show,8
579,first,8
64,take,8
196,state,8
202,youth,8
89,colleg,7
662,find,7
246,specif,7
690,call,7
379,build,7
156,answer,7
122,experi,7
479,day,7
706,background,7
414,everi,7
159,point,7
694,pandem,7
102,free,7
469,session,7
265,mention,7
604,connect,7
27,great,7
291,world,7
285,back,7
729,togeth,7
105,creat,7
757,long,7
88,develop,6
78,cortico,6
803,skill,6
261,environ,6
182,even,6
135,happen,6
151,forward,6
600,across,6
385,circl,6
232,term,6
204,system,6
63,coupl,6
862,seen,6
446,video,6
490,might,6
217,kind,6
788,hope,6
432,jump,6
147,got,6
47,parent,6
119,last,6
807,minut,5
876,member,5
870,reach,5
837,better,5
551,cours,5
766,screen,5
436,impact,5
561,speak,5
592,care,5
498,2050,5
496,forum,5
463,huge,5
450,ed,5
612,cte,5
445,thought,5
623,critic,5
654,tell,5
425,ago,5
745,data,5
423,sens,5
668,somebodi,5
673,loss,5
677,legisl,5
552,oh,5
339,goal,5
334,certainli,5
321,board,5
311,other,5
710,excit,5
185,focus,5
439,today,5
114,comment,5
10,speaker,5
577,stage,4
513,mind,4
6,small,4
209,matter,4
99,serv,4
742,agre,4
85,alway,4
402,classroom,4
738,inform,4
456,contribut,4
35,everybodi,4
34,keep,4
286,ye,4
144,sort,4
512,director,4
16,whole,4
237,fit,4
239,capac,4
681,audio,4
574,stori,4
71,continu,4
1,new,4
111,guidelin,4
153,end,4
719,heard,4
152,discuss,4
263,financi,4
795,hard,4
149,base,4
696,stakehold,4
81,respond,4
129,address,4
171,meet,4
323,exampl,4
198,perspect,4
771,record,4
349,slide,4
179,welcom,4
865,voic,4
554,folk,4
424,earli,3
573,includ,3
48,posit,3
369,young,3
650,step,3
645,public,3
817,within,3
84,far,3
269,order,3
638,strategi,3
361,love,3
148,wide,3
356,full,3
541,pre,3
764,hi,3
50,transform,3
422,still,3
284,motiv,3
642,master,3
515,key,3
310,will,3
789,invit,3
320,four,3
796,varieti,3
786,valu,3
797,execut,3
306,done,3
388,wonder,3
397,begin,3
822,wrap,3
557,curriculum,3
404,multipl,3
527,job,3
529,involv,3
735,vision,3
408,employ,3
292,class,3
734,pass,3
44,fall,3
667,local,3
392,secondari,3
29,five,3
354,worri,3
602,inclus,3
194,engag,3
858,follow,3
483,either,3
448,along,3
633,face,3
587,word,3
688,organ,3
701,amaz,3
466,guid,3
866,access,3
480,aspect,3
434,scienc,3
853,influenc,3
224,watch,3
852,focu,3
605,ahead,3
461,toward,3
594,adult,3
97,10,3
682,structur,3
173,mainer,3
713,economi,3
443,administr,3
824,elect,3
825,real,3
611,initi,3
154,anoth,3
38,link,3
476,network,3
