,word,frequency
674,go,150
160,student,98
282,think,96
309,school,89
65,educ,82
130,like,81
490,teacher,73
971,need,68
364,want,66
562,learn,66
829,thing,58
539,one,49
486,abl,48
945,know,45
338,realli,45
618,would,43
380,classroom,42
133,get,39
326,make,35
707,convers,34
724,say,34
313,teach,33
249,experi,33
1,life,32
213,time,29
79,littl,28
119,kid,28
455,feel,28
637,right,27
569,question,27
840,someth,26
339,come,26
526,work,25
544,skill,25
372,way,24
354,understand,24
57,main,23
10,see,23
307,system,22
960,build,22
892,well,22
765,first,22
983,import,22
199,give,22
203,talk,22
972,lot,21
185,connect,21
69,part,21
291,back,21
61,even,20
925,could,20
720,onlin,20
32,still,20
31,chang,19
610,differ,19
424,peopl,19
345,take,19
675,high,18
822,math,18
284,special,18
770,much,18
912,world,17
737,good,17
82,great,17
103,day,17
820,live,17
518,class,17
3,also,16
792,emot,16
572,bit,16
547,use,16
740,actual,15
632,thank,15
417,biggest,15
181,person,15
516,support,15
346,everi,15
373,bring,14
577,especi,14
694,complet,14
774,okay,14
656,definit,14
973,put,13
871,real,13
464,look,13
180,mean,12
619,opportun,12
91,care,12
638,futur,12
125,outsid,12
377,situat,12
524,us,12
708,commun,11
523,gener,11
437,pandem,11
136,read,11
963,alway,11
193,base,11
430,children,11
230,sure,11
4,younger,11
177,everybodi,10
907,listen,10
798,oh,10
952,valu,10
243,start,10
71,agre,10
894,within,10
655,develop,10
391,two,10
273,said,10
475,relationship,10
283,incorpor,10
229,appli,10
535,whether,10
680,project,10
244,year,10
606,becom,10
242,includ,9
341,add,9
294,keep,9
959,huge,9
650,level,9
685,yeah,9
279,peer,9
954,mind,9
914,thrive,9
117,famili,9
253,help,9
766,state,9
906,voic,9
426,ask,9
358,childhood,9
461,love,9
9,stuff,9
7,name,9
202,hard,9
98,show,9
347,big,9
453,cours,8
809,someon,8
402,impact,8
662,realiz,8
652,ed,8
757,provid,8
16,grade,8
773,possibl,8
29,social,8
285,counti,8
550,posit,8
858,answer,8
322,around,8
120,parent,8
142,accommod,8
948,food,8
39,major,8
896,rememb,8
821,hear,7
200,exampl,7
332,whole,7
382,new,7
467,three,7
116,thought,7
383,best,7
769,last,7
108,elementari,7
474,home,7
886,meet,7
489,goal,7
42,transit,7
444,let,7
678,tri,7
676,middl,7
609,everyon,7
319,felt,7
543,basic,7
780,sometim,7
413,involv,7
862,today,7
888,action,7
101,ye,7
950,caitlin,6
943,anyth,6
423,local,6
905,english,6
381,focu,6
198,immedi,6
100,done,6
545,mention,6
962,polit,6
271,foster,6
957,career,6
964,curriculum,6
153,wonder,6
143,next,6
841,environ,6
38,prepar,6
398,might,6
866,reason,6
167,content,6
266,divers,6
112,experienc,6
826,grow,6
261,leav,6
246,typic,5
378,differenti,5
703,pull,5
761,citizen,5
689,forum,5
668,seen,5
370,chat,5
396,earli,5
755,game,5
754,group,5
665,head,5
325,share,5
621,room,5
612,order,5
410,instead,5
713,follow,5
292,affect,5
356,move,5
270,free,5
245,period,5
334,attend,5
654,succeed,5
608,point,5
427,side,5
67,mine,5
492,standard,5
493,belief,5
63,struggl,5
86,practic,5
815,find,5
187,lesson,5
168,older,5
498,end,5
480,necessarili,5
909,made,5
95,alreadi,5
449,got,5
72,continu,5
204,effect,5
158,technolog,5
210,inclus,5
967,tech,5
985,everyth,5
212,pleas,5
223,respons,5
23,small,5
796,method,5
874,whenev,4
536,mani,4
865,obstacl,4
917,success,4
559,servic,4
123,12,4
385,identifi,4
891,video,4
916,product,4
121,senior,4
705,sort,4
99,built,4
546,transform,4
73,current,4
940,particip,4
641,concentr,4
961,young,4
511,resourc,4
357,fit,4
506,receiv,4
353,better,4
505,enough,4
21,colleg,4
367,sens,4
502,program,4
33,friend,4
670,play,4
324,call,4
43,frustrat,4
672,happen,4
45,produc,4
46,requir,4
527,front,4
50,second,4
942,begin,4
564,given,4
682,polici,4
864,idea,4
867,advoc,4
178,capac,4
267,space,4
748,ever,4
827,access,4
262,mayb,4
144,excit,4
182,platform,4
188,age,4
600,child,4
191,togeth,4
407,goe,4
806,field,4
805,size,4
604,close,4
428,separ,4
207,benefici,4
425,watch,4
215,maker,4
412,face,4
778,grew,4
605,aspect,4
233,run,4
784,lack,4
219,heard,4
793,grind,4
585,piggyback,4
989,burnout,4
844,job,4
576,beyond,4
394,step,4
269,sit,4
850,lvn,4
742,pop,4
623,network,4
833,cortico,4
851,explor,4
741,adult,4
631,bad,3
469,dream,3
635,isl,3
574,essenc,3
504,fail,3
532,switch,3
389,pass,3
575,worker,3
395,sorri,3
519,anoth,3
510,worri,3
419,adulthood,3
517,evolv,3
565,improv,3
414,relat,3
500,creat,3
368,member,3
531,burner,3
401,foundat,3
441,hope,3
644,becam,3
491,feder,3
445,interview,3
438,protocol,3
363,moment,3
404,2050,3
624,turn,3
528,howev,3
581,email,3
601,tradit,3
476,diagnosi,3
647,econom,3
603,perspect,3
483,reserv,3
629,activ,3
514,deal,3
362,public,3
800,present,3
214,took,3
216,wrong,3
217,knowledg,3
83,went,3
794,american,3
787,credit,3
226,contribut,3
227,approach,3
228,readi,3
922,believ,3
240,caus,3
927,stori,3
768,els,3
251,anymor,3
515,advers,3
211,touch,3
89,key,3
264,district,3
205,presqu,3
147,aroostook,3
861,nativ,3
855,test,3
848,strongli,3
843,collect,3
839,hundr,3
836,upload,3
831,choos,3
171,gain,3
355,focus,3
186,fort,3
109,org,3
898,govern,3
196,tell,3
804,avail,3
749,knew,3
239,leader,3
19,kent,3
299,retain,3
308,probabl,3
311,entir,3
20,percent,3
934,intellig,3
17,without,3
14,reach,3
684,allow,3
321,mission,3
323,matter,3
681,univers,3
13,respond,3
336,reflect,3
978,choic,3
671,role,3
980,record,3
984,happi,3
988,miss,3
22,fine,3
857,pre,3
277,soon,3
717,expect,3
953,specif,3
52,though,3
949,throughout,3
730,human,3
62,analyz,3
66,anyon,3
56,inform,3
956,subject,2
533,mute,2
551,execut,2
881,other,2
557,charg,2
876,book,2
939,type,2
558,hi,2
932,redact,2
873,feedback,2
938,graduat,2
884,away,2
860,log,2
885,easier,2
549,pbe,2
920,collabor,2
548,relev,2
923,along,2
889,fall,2
921,behind,2
530,director,2
900,straight,2
901,balanc,2
904,dedic,2
911,break,2
955,word,2
970,topic,2
968,survey,2
933,roommat,2
590,disabl,2
859,compass,2
634,ago,2
622,invit,2
738,quot,2
734,solv,2
731,versu,2
729,exceed,2
627,drive,2
628,mindset,2
725,tool,2
721,shot,2
719,came,2
716,join,2
711,score,2
570,full,2
709,academ,2
697,measur,2
693,media,2
692,audio,2
690,rearrang,2
688,comput,2
645,semest,2
673,anybodi,2
667,applic,2
663,street,2
657,awar,2
746,jump,2
764,memor,2
616,k,2
615,serv,2
571,organ,2
852,eventu,2
846,potenti,2
838,gratitud,2
579,profici,2
835,vote,2
832,neg,2
582,publicli,2
830,18,2
587,natur,2
825,rais,2
592,stabl,2
597,ensur,2
599,area,2
811,sat,2
810,minut,2
807,whatev,2
802,liter,2
795,quit,2
607,across,2
783,simpl,2
779,repeat,2
775,rather,2
760,everyday,2
495,hybrid,2
122,circl,2
96,set,2
165,wise,2
93,constantli,2
166,design,2
415,comfort,2
302,portion,2
420,profess,2
421,interventionist,2
87,capabl,2
85,light,2
173,simpli,2
84,manag,2
434,attent,2
81,popul,2
175,realm,2
297,concept,2
293,experienti,2
290,purpos,2
70,place,2
443,cheat,2
446,fight,2
448,youth,2
60,four,2
451,either,2
94,burnt,2
104,nice,2
457,decis,2
393,bridg,2
132,critic,2
350,round,2
145,engag,2
131,trauma,2
331,long,2
129,societi,2
148,excel,2
360,flight,2
361,never,2
365,extent,2
328,found,2
124,sentenc,2
152,tape,2
118,scienc,2
115,will,2
316,pick,2
376,persever,2
379,top,2
386,transcrib,2
387,ahead,2
310,tutor,2
107,slowli,2
392,problem,2
59,safe,2
179,kind,2
465,gear,2
260,zoom,2
40,norm,2
12,vulner,2
468,sick,2
234,acknowledg,2
263,decad,2
224,sinc,2
484,pretti,2
499,equat,2
473,represent,2
478,fulli,2
252,hey,2
507,somehow,2
26,thread,2
24,stress,2
5,ignor,2
194,niec,2
482,rich,2
2,packet,2
195,hardship,2
225,fact,2
231,kept,1
788,hidden,1
845,fair,1
785,philosophi,1
786,engin,1
155,passion,1
842,common,1
156,zero,1
232,quarter,1
154,remov,1
808,exhaust,1
782,poverti,1
847,prep,1
139,fifth,1
140,pantri,1
141,zone,1
238,data,1
237,vast,1
776,channel,1
146,sensat,1
856,mathemat,1
777,sponsor,1
236,secur,1
854,lab,1
235,assign,1
853,guardianship,1
149,somebodi,1
150,sub,1
151,ultim,1
849,favorit,1
159,flourish,1
781,grown,1
157,section,1
164,issu,1
161,often,1
184,cultur,1
183,normal,1
799,pitt,1
208,direct,1
819,five,1
818,growth,1
817,k12,1
801,surviv,1
816,snippet,1
206,lectur,1
176,note,1
803,past,1
814,line,1
813,abil,1
812,welcom,1
201,gosh,1
197,bigger,1
189,dad,1
190,pattern,1
863,lift,1
209,master,1
162,uniqu,1
791,forc,1
837,violenc,1
163,instruct,1
192,mar,1
834,healthier,1
789,sixth,1
790,six,1
169,shape,1
170,hate,1
172,greatest,1
823,minor,1
828,reader,1
222,tough,1
221,island,1
220,storybook,1
174,stay,1
218,grate,1
797,scenario,1
824,bat,1
138,born,1
513,ec,1
137,habit,1
946,fundament,1
41,eager,1
44,mit,1
47,fear,1
48,princip,1
49,breath,1
951,trend,1
51,higher,1
53,gather,1
54,fund,1
947,review,1
55,profession,1
37,perfect,1
944,desk,1
58,occur,1
941,failur,1
64,remot,1
68,spent,1
937,invent,1
936,entitl,1
935,gift,1
74,lifestyl,1
75,wish,1
958,search,1
36,pace,1
135,stick,1
975,shock,1
987,partner,1
986,innov,1
6,forese,1
8,america,1
982,amaz,1
981,integr,1
11,expand,1
979,super,1
977,piggi,1
976,web,1
974,freeport,1
35,surround,1
15,caregiv,1
18,announc,1
25,began,1
969,tie,1
27,reflector,1
966,systemat,1
965,shift,1
28,oper,1
30,process,1
34,consent,1
931,accord,1
930,overal,1
929,bomb,1
880,histori,1
893,eye,1
111,research,1
113,overwhelm,1
890,30,1
114,domest,1
887,hancock,1
772,board,1
883,nobodi,1
882,afterward,1
126,apart,1
879,cheesi,1
928,12th,1
878,predominantli,1
877,employ,1
127,discov,1
875,gone,1
128,e,1
872,white,1
870,collegi,1
869,wow,1
868,correct,1
134,traumat,1
110,discuss,1
895,aliv,1
897,21st,1
106,bother,1
76,discard,1
926,introduc,1
77,knock,1
924,usual,1
78,advantag,1
80,summer,1
919,juan,1
918,express,1
915,old,1
88,link,1
913,addict,1
90,exponenti,1
92,discourag,1
910,ratio,1
908,check,1
97,refer,1
102,healthi,1
903,stage,1
902,hire,1
105,effort,1
899,absolut,1
241,stole,1
753,peac,1
771,wifi,1
435,homework,1
411,segment,1
611,covid,1
416,event,1
418,singl,1
422,centuri,1
429,wall,1
431,told,1
602,offer,1
432,eighth,1
433,decor,1
598,degre,1
596,lie,1
369,modifi,1
595,pictur,1
594,open,1
593,strong,1
436,guidelin,1
591,appreci,1
439,babi,1
589,openli,1
588,multipl,1
440,fuel,1
586,easi,1
442,depend,1
613,enter,1
614,compar,1
409,pseudonym,1
408,punch,1
371,tax,1
374,boil,1
643,domino,1
642,2020,1
375,page,1
640,15,1
639,remind,1
636,thoroughli,1
384,final,1
633,own,1
388,girl,1
630,thrown,1
390,meant,1
626,least,1
625,quick,1
397,honest,1
399,outcast,1
400,youtub,1
403,dollar,1
620,sever,1
405,nine,1
406,glad,1
617,lenienc,1
584,outlook,1
583,tabl,1
580,professor,1
472,thousand,1
479,realiti,1
481,left,1
542,highest,1
541,nowher,1
540,chose,1
538,googl,1
537,longer,1
485,parabola,1
534,obvious,1
487,medic,1
488,scaffold,1
494,internship,1
496,13,1
529,chemic,1
497,10,1
501,speak,1
525,certain,1
503,town,1
522,mostli,1
521,yet,1
520,hous,1
508,neither,1
509,motion,1
477,softwar,1
471,delay,1
447,third,1
470,dorm,1
578,submit,1
450,debt,1
452,rest,1
573,suspect,1
454,inspir,1
456,almost,1
458,task,1
568,graph,1
567,ideal,1
566,piec,1
