,word,frequency
2,think,164
143,go,113
57,like,98
140,thing,83
939,realli,82
16,peopl,70
556,kind,65
134,student,62
419,want,58
133,differ,57
489,school,56
24,kid,56
316,way,56
788,say,49
973,learn,48
901,right,47
732,get,46
29,educ,44
537,need,43
452,would,43
630,see,41
794,one,41
1057,work,38
272,world,37
753,great,36
685,commun,35
599,much,35
340,well,34
1070,help,34
44,share,33
210,lot,33
19,convers,33
1035,know,31
745,question,29
1083,experi,29
765,sort,26
1107,good,26
351,teacher,25
582,look,25
660,come,25
724,thought,25
913,thank,24
462,happen,23
259,skill,23
621,abl,23
39,someth,23
577,main,22
250,said,22
638,feel,21
373,year,21
777,bit,21
400,group,21
1043,time,21
557,us,21
786,sure,20
1158,life,20
363,idea,20
1088,talk,20
702,put,20
814,mani,20
90,hope,19
1044,next,19
280,make,19
791,littl,19
942,give,18
948,yeah,18
306,could,18
328,might,18
1075,start,18
932,connect,17
807,back,17
980,mean,17
664,tri,17
433,project,17
518,import,16
708,valu,16
121,use,16
413,around,15
53,still,15
212,mayb,15
764,chang,15
172,part,15
761,real,15
1041,build,15
446,system,14
33,term,14
411,whole,14
203,today,14
994,set,14
398,voic,13
559,teach,13
428,10,13
612,actual,13
953,piec,13
1080,take,13
108,let,12
778,gener,12
105,chat,12
752,comment,12
185,togeth,12
858,strength,12
288,youth,12
83,pretti,12
218,specif,12
1053,okay,12
264,interest,12
501,place,12
985,problem,12
473,whatev,12
165,discuss,12
947,stori,11
637,love,11
495,coupl,10
247,math,10
49,point,10
576,order,10
900,first,10
1055,answer,10
512,becom,10
1052,young,10
929,understand,10
505,better,10
864,counti,10
447,even,10
1150,process,10
368,success,10
317,abil,10
178,passion,9
663,reflect,9
841,everi,9
662,end,9
758,bring,9
1082,definit,9
797,guess,9
654,never,9
296,perspect,9
517,particip,9
874,find,9
888,posit,9
1025,pandem,9
233,also,9
437,day,9
430,everyth,9
412,two,9
338,got,9
1012,live,9
275,agre,9
0,economi,9
789,sens,9
1144,social,9
124,circl,9
137,engag,9
67,creat,9
223,design,8
271,folk,8
856,state,8
333,creativ,8
718,somebodi,8
813,other,8
744,everyon,8
32,ask,8
132,orient,8
480,struggl,8
258,respons,8
695,cultur,8
673,goal,8
1123,ago,8
547,develop,8
876,class,7
12,stay,7
721,activ,7
825,evid,7
470,decad,7
699,collabor,7
1125,hard,7
1142,futur,7
617,necessarili,7
747,oh,7
95,meet,7
251,care,7
208,natur,7
999,inform,7
902,level,7
988,learner,7
934,classroom,7
392,support,7
281,leav,7
72,listen,7
157,hear,7
424,autom,7
885,environ,7
273,everybodi,7
1135,individu,7
286,given,7
56,issu,7
1148,name,7
154,space,7
320,far,7
656,area,7
451,solv,7
457,follow,6
84,worri,6
571,ahead,6
618,structur,6
730,focu,6
163,keep,6
305,huge,6
996,alreadi,6
356,allow,6
626,particular,6
845,especi,6
99,away,6
237,relationship,6
739,wonder,6
943,best,6
380,technolog,6
741,focus,6
652,easi,6
613,base,6
267,impact,6
383,done,6
904,person,6
1114,alway,6
862,appli,6
409,type,6
700,toward,6
196,academ,6
1019,access,5
270,media,5
692,tradit,5
534,facilit,5
1104,zoom,5
839,town,5
713,quit,5
632,job,5
30,challeng,5
938,account,5
488,continu,5
73,articul,5
297,four,5
682,exampl,5
574,comfort,5
804,play,5
554,thrive,5
1047,curiou,5
190,climat,5
762,truli,5
77,daughter,5
420,proud,5
755,push,5
754,mind,5
1121,probabl,5
742,pocket,5
379,went,5
795,age,5
897,employ,5
969,pass,5
993,forward,5
1124,context,5
567,current,5
527,sinc,5
127,famili,5
592,explor,5
1159,along,5
905,approach,5
680,new,5
584,seem,4
