,word,frequency
694,think,700
641,educ,630
7,want,620
487,need,570
317,student,520
397,go,520
655,realli,450
369,see,430
98,convers,420
57,like,360
68,get,340
432,learn,320
647,peopl,320
158,thank,320
169,main,320
535,us,310
129,help,300
471,know,300
24,kid,290
848,one,290
524,school,290
714,thing,280
172,come,270
212,sure,270
387,support,260
52,question,250
273,teacher,250
238,make,250
51,say,230
436,yeah,230
30,also,220
274,share,220
218,would,220
216,differ,210
307,lot,210
549,feel,200
505,commun,200
103,work,200
631,year,180
33,look,180
633,right,180
361,time,180
162,futur,170
63,much,160
561,abl,160
121,group,160
311,littl,160
415,ask,160
248,part,150
155,let,150
22,teach,150
209,well,150
393,understand,150
814,way,150
391,next,140
351,said,140
46,someth,140
430,mani,140
743,put,130
855,bit,130
171,program,130
489,start,130
695,project,130
715,actual,130
609,career,120
366,import,120
562,use,120
53,join,110
343,bring,110
453,chat,110
444,opportun,100
862,famili,100
567,leader,100
26,hear,100
624,high,100
593,talk,100
315,industri,100
440,particip,100
468,move,100
259,everyon,100
443,anyon,90
163,individu,90
680,person,90
756,good,90
650,mayb,90
748,okay,90
750,gener,90
9,grade,90
210,interest,80
425,first,80
130,take,80
774,state,80
413,show,80
374,idea,80
613,give,80
569,chang,80
552,add,80
73,relev,80
579,youth,80
87,tri,80
21,togeth,70
698,creat,70
157,build,70
649,mention,70
506,call,70
446,find,70
488,colleg,70
417,back,70
510,everi,70
854,point,70
3,long,70
327,answer,70
537,free,70
86,pandem,70
726,day,70
792,great,70
457,world,70
48,connect,70
811,experi,70
339,specif,70
277,background,70
161,session,70
11,environ,60
711,hope,60
409,seen,60
373,system,60
186,jump,60
385,across,60
454,cortico,60
217,might,60
671,even,60
573,circl,60
308,develop,60
738,term,60
258,coupl,60
745,parent,60
716,forward,60
249,got,60
682,skill,60
375,happen,60
39,kind,60
464,last,60
863,video,60
8,member,50
67,ed,50
462,forum,50
534,ago,50
492,better,50
324,other,50
547,excit,50
235,comment,50
323,somebodi,50
267,legisl,50
766,oh,50
194,screen,50
340,sens,50
684,focus,50
108,loss,50
301,cours,50
824,critic,50
427,speaker,50
786,data,50
611,goal,50
719,2050,50
297,cte,50
732,minut,50
558,reach,50
752,huge,50
291,board,50
100,impact,50
205,tell,50
254,speak,50
517,today,50
809,certainli,50
275,care,50
622,thought,50
241,continu,40
188,base,40
246,hard,40
765,welcom,40
376,mind,40
191,heard,40
702,everybodi,40
257,contribut,40
496,audio,40
696,discuss,40
232,ye,40
402,capac,40
836,keep,40
638,agre,40
293,financi,40
746,stori,40
92,meet,40
179,sort,40
519,respond,40
575,whole,40
844,exampl,40
349,classroom,40
105,record,40
577,end,40
601,inform,40
861,folk,40
40,perspect,40
585,stage,40
19,director,40
591,small,40
102,matter,40
119,guidelin,40
176,address,40
639,fit,40
490,serv,40
137,voic,40
494,stakehold,40
266,alway,40
401,new,40
412,slide,40
292,will,30
321,four,30
516,wrap,30
264,post,30
245,adult,30
515,multipl,30
332,engag,30
337,full,30
314,pre,30
527,public,30
511,guess,30
346,employ,30
269,profession,30
306,step,30
270,wide,30
713,along,30
253,includ,30
252,varieti,30
763,face,30
742,influenc,30
283,mainer,30
370,job,30
630,strategi,30
0,wrong,30
628,toward,30
437,economi,30
483,inclus,30
71,big,30
672,elect,30
84,order,30
438,word,30
89,transform,30
675,execut,30
554,class,30
431,watch,30
564,children,30
424,begin,30
132,five,30
135,network,30
142,still,30
65,focu,30
850,either,30
59,seem,30
451,vision,30
42,local,30
461,organ,30
866,10,30
868,scienc,30
598,someon,30
467,posit,30
873,curriculum,30
14,ahead,30
13,hi,30
659,key,30
874,access,30
5,anoth,30
875,guid,30
143,valu,30
120,master,30
807,done,30
493,wonder,30
195,earli,30
791,structur,30
192,real,30
187,involv,30
185,fall,30
390,secondari,30
797,amaz,30
693,initi,30
799,link,30
548,young,30
512,love,30
621,far,30
215,worri,30
775,aspect,30
497,follow,30
657,administr,30
405,within,30
408,action,30
532,pass,30
773,motiv,30
777,offer,30
154,invit,30
160,may,30
466,sustain,20
654,disengag,20
724,challeng,20
388,anybodi,20
656,collabor,20
