,word,frequency
556,think,154
602,commun,107
911,like,73
613,need,70
122,educ,66
121,peopl,60
877,go,60
860,school,58
842,realli,56
96,thing,47
734,lot,43
528,way,43
500,children,41
256,come,38
206,want,37
594,connect,35
295,skill,35
210,get,35
919,right,35
945,feel,35
865,good,33
644,learn,33
432,question,32
985,kid,32
255,also,31
506,member,29
262,differ,29
18,know,29
800,say,28
711,place,28
946,relationship,27
651,convers,27
354,time,26
328,system,25
765,experi,25
274,live,25
680,would,24
889,talk,24
157,mayb,24
302,one,24
640,opportun,23
327,someth,23
577,abl,23
352,bring,22
145,yeah,22
264,make,22
676,child,22
489,support,22
819,famili,21
575,adult,21
9,program,20
476,chang,20
49,back,20
416,could,20
499,part,19
360,move,19
764,thank,19
135,main,19
553,littl,18
669,next,18
671,work,18
402,engag,17
406,play,16
382,technolog,16
471,look,16
975,use,16
191,counti,15
897,help,15
519,area,15
146,may,15
447,tri,15
867,els,15
810,mind,15
203,kind,14
82,person,14
182,share,14
37,great,14
976,love,14
108,import,14
557,mani,14
901,town,14
131,sure,14
133,first,14
368,said,14
650,agre,13
687,run,13
0,year,13
943,hope,13
84,big,13
868,okay,13
963,around,13
39,thrive,12
1017,whether,12
409,understand,12
803,free,12
795,term,12
904,build,12
263,pictur,11
798,well,11
536,life,11
375,model,11
995,even,11
863,especi,11
725,parent,11
674,see,11
153,somebodi,10
690,word,10
50,much,10
4,happen,10
540,teacher,10
235,guess,10
248,give,10
8,meet,10
200,mean,10
99,capac,10
741,take,10
748,five,10
38,abil,9
73,ask,9
609,start,9
998,oh,9
828,outsid,9
914,role,9
1008,enrich,9
234,actual,9
653,best,9
259,critic,9
396,sorri,8
921,might,8
40,togeth,8
994,youth,8
433,earli,8
442,lubec,8
893,care,8
882,came,8
688,develop,8
858,posit,8
662,exist,8
758,k,8
752,space,8
624,let,8
806,find,8
808,becom,8
750,interact,8
835,interest,8
488,young,8
848,answer,8
738,pretti,7
6,local,7
337,creat,7
1010,wonder,7
276,decad,7
291,basic,7
694,along,7
762,washington,7
305,thought,7
763,cultur,7
852,organ,7
444,two,7
117,bit,7
512,broader,7
918,12,7
777,high,7
841,add,7
794,order,7
407,healthi,7
768,base,7
892,bodi,7
435,agenc,6
708,environ,6
207,relat,6
663,physic,6
652,ye,6
875,childcar,6
930,keep,6
1002,coupl,6
615,invest,6
605,valu,6
544,sort,6
369,matter,6
792,world,6
300,govern,6
362,sit,6
307,perspect,6
935,someon,6
1039,gener,6
138,forc,6
29,concern,6
147,folk,6
90,public,6
52,adulthood,6
44,inform,6
163,aspect,6
103,colleg,6
70,worri,6
95,put,5
979,offer,5
74,passion,5
770,summer,5
219,real,5
853,spirit,5
871,though,5
66,road,5
222,municip,5
463,listen,5
252,today,5
251,name,5
45,alway,5
398,middl,5
958,reason,5
639,figur,5
905,group,5
629,futur,5
454,readi,5
637,probabl,5
399,respect,5
459,pick,5
646,teach,5
832,beauti,5
927,us,5
510,waldorf,5
190,piec,5
527,fine,5
266,huge,5
534,within,5
830,everyth,5
113,drive,5
572,away,5
941,never,5
1020,definit,5
2,last,5
1015,enjoy,5
326,gift,5
180,begin,5
681,imagin,5
323,grow,5
647,home,5
27,eat,4
917,energi,4
80,end,4
916,describ,4
697,past,4
77,second,4
913,age,4
940,met,4
743,small,4
297,health,4
824,provid,4
350,still,4
827,ideal,4
799,got,4
788,addit,4
329,pandem,4
779,least,4
840,hear,4
322,record,4
843,ago,4
318,believ,4
847,leadership,4
48,dynam,4
315,avail,4
314,network,4
856,gap,4
859,everi,4
692,old,4
766,voic,4
869,welcom,4
303,sometim,4
83,anoth,4
823,state,4
591,resili,4
139,idea,4
484,profess,4
101,mental,4
645,collabor,4
969,speak,4
467,math,4
971,across,4
597,type,4
199,rural,4
250,exposur,4
253,sinc,4
233,rather,4
603,tree,4
427,liter,4
1030,homework,4
604,excus,4
1032,piggyback,4
225,everybodi,4
216,leav,4
424,true,4
422,purpos,4
110,biggest,3
601,assess,3
371,soul,3
771,servic,3
595,older,3
693,seem,3
593,anyon,3
483,pass,3
152,friend,3
588,rais,3
784,other,3
111,full,3
791,cours,3
502,challeng,3
545,20,3
353,absolut,3
56,explor,3
522,bill,3
346,made,3
607,connected,3
626,consid,3
104,root,3
617,aspir,3
821,compass,3
712,struggl,3
713,alreadi,3
715,intervent,3
682,motiv,3
403,job,3
670,action,3
434,trail,3
148,kiddo,3
438,everyon,3
737,opinion,3
441,hard,3
649,respond,3
740,whole,3
390,beyond,3
757,open,3
381,noth,3
641,versu,3
379,experienc,3
377,key,3
67,often,3
633,earlier,3
631,resid,3
421,realiti,3
625,far,3
460,line,3
619,isol,3
812,mission,3
515,forum,3
822,thread,3
934,call,3
246,activ,3
962,collect,3
961,nice,3
956,whatev,3
949,better,3
947,circl,3
944,younger,3
928,fail,3
242,new,3
273,shape,3
926,phrase,3
925,fulli,3
923,childhood,3
920,stay,3
283,jump,3
28,miss,3
16,trauma,3
967,involv,3
896,factor,3
179,broadli,3
1036,stori,3
1034,landscap,3
194,necessarili,3
1024,covid,3
198,outdoor,3
183,poverti,3
205,cortico,3
3,almost,3
15,machia,3
999,express,3
220,day,3
991,read,3
990,strategi,3
989,follow,3
986,cook,3
230,evolv,3
30,afterschool,3
260,spoke,3
855,fight,3
833,tabl,3
321,retir,3
849,gone,3
53,quick,3
886,less,3
870,particip,3
334,anymor,3
333,sens,3
831,travel,3
829,bu,3
341,allow,3
339,social,3
5,process,2
187,regard,2
596,menu,2
1000,somewher,2
804,bounc,2
10,tax,2
606,gain,2
996,rememb,2
608,decis,2
610,rethink,2
753,condit,2
614,competit,2
11,without,2
809,attent,2
616,guy,2
12,male,2
992,told,2
60,difficult,2
623,equal,2
62,advers,2
987,lowest,2
984,act,2
983,standard,2
802,mileston,2
1011,land,2
14,tell,2
592,protect,2
815,expand,2
523,lvn,2
1033,total,2
533,dumpl,2
813,goe,2
535,pre,2
541,essenti,2
1029,momentum,2
1028,origin,2
546,quickli,2
547,bad,2
550,misbehav,2
552,selv,2
114,count,2
514,grew,2
562,mine,2
563,reiter,2
565,success,2
112,head,2
1022,beach,2
584,topic,2
586,feasibl,2
587,graduat,2
811,alon,2
825,specif,2
1014,introduc,2
1012,recess,2
977,financi,2
785,certainli,2
635,done,2
786,plu,2
707,gosh,2
710,view,2
874,har,2
35,ahead,2
761,arriv,2
884,prioriti,2
718,focus,2
719,media,2
720,nativ,2
727,phenomen,2
