,word,frequency
280,think,70
60,educ,63
286,want,62
771,need,57
128,go,52
813,student,52
671,realli,45
713,see,43
615,convers,42
684,like,36
501,get,34
836,peopl,32
746,learn,32
750,thank,32
831,main,32
446,us,31
358,help,30
593,know,30
28,one,29
808,school,29
98,kid,29
260,thing,28
659,sure,27
37,come,27
323,support,26
754,question,25
310,make,25
91,teacher,25
693,yeah,23
638,say,23
695,would,22
57,also,22
459,share,22
66,lot,21
117,differ,21
765,work,20
547,commun,20
8,feel,20
673,year,18
453,right,18
436,time,18
164,look,18
430,futur,17
530,littl,16
491,group,16
457,much,16
38,abl,16
704,ask,16
322,part,15
868,let,15
51,teach,15
663,understand,15
666,way,15
298,well,15
201,said,14
786,mani,14
496,next,14
692,someth,14
508,put,13
197,start,13
235,program,13
359,project,13
333,bit,13
633,actual,13
725,career,12
205,use,12
89,import,12
309,bring,11
466,chat,11
397,join,11
420,particip,10
393,leader,10
349,everyon,10
321,high,10
165,opportun,10
0,hear,10
462,talk,10
10,famili,10
609,industri,10
640,move,10
416,gener,9
234,good,9
263,grade,9
702,okay,9
178,anyon,9
133,mayb,9
789,person,9
239,individu,9
709,relev,8
302,state,8
317,give,8
660,first,8
650,take,8
741,add,8
876,idea,8
855,tri,8
154,chang,8
121,youth,8
187,show,8
209,interest,8
774,creat,7
273,answer,7
780,great,7
179,everi,7
119,specif,7
250,day,7
193,connect,7
669,mention,7
296,build,7
384,session,7
79,colleg,7
80,pandem,7
407,togeth,7
394,free,7
144,world,7
388,back,7
581,long,7
180,experi,7
3,call,7
344,find,7
634,background,7
124,point,7
174,skill,6
175,last,6
871,got,6
428,might,6
198,environ,6
761,even,6
664,parent,6
639,system,6
348,video,6
630,forward,6
544,kind,6
510,jump,6
461,coupl,6
147,happen,6
877,develop,6
83,seen,6
11,across,6
100,circl,6
18,cortico,6
134,term,6
81,hope,6
191,focus,5
543,data,5
541,forum,5
230,2050,5
487,excit,5
484,somebodi,5
480,better,5
67,care,5
421,minut,5
507,speaker,5
395,comment,5
580,screen,5
120,speak,5
327,other,5
303,board,5
103,ed,5
277,oh,5
206,reach,5
270,cours,5
110,legisl,5
564,goal,5
138,ago,5
54,cte,5
613,loss,5
40,certainli,5
759,impact,5
769,sens,5
783,tell,5
710,huge,5
785,member,5
717,thought,5
822,critic,5
853,today,5
293,sort,4
801,small,4
12,record,4
107,stage,4
272,address,4
770,folk,4
368,audio,4
253,new,4
381,fit,4
389,mind,4
734,whole,4
718,stori,4
398,ye,4
102,perspect,4
412,hard,4
551,matter,4
699,discuss,4
599,keep,4
542,financi,4
612,end,4
