,word,frequency
113,think,118
100,commun,87
462,go,78
557,thing,75
28,school,70
49,peopl,58
951,say,56
95,part,49
274,would,48
554,one,46
470,way,43
486,work,43
270,want,42
62,get,41
652,need,39
295,like,38
694,know,36
245,make,35
600,kind,33
830,learn,31
815,kid,29
140,involv,29
500,talk,28
632,import,28
176,realli,27
165,yeah,26
556,help,26
94,convers,25
491,year,25
766,could,25
169,time,25
787,next,24
352,chang,24
714,togeth,24
840,someth,23
120,good,23
880,thank,23
354,feel,23
802,right,23
605,experi,22
506,see,22
452,educ,21
207,rem,21
137,sure,21
226,watervil,21
406,main,21
842,job,20
571,share,20
668,said,19
921,group,19
744,student,19
846,person,18
719,great,17
387,happen,17
548,well,17
194,come,17
609,question,17
660,got,16
831,differ,16
646,folk,16
920,look,15
754,also,15
908,start,15
573,everi,15
785,valu,15
629,place,15
47,around,15
271,take,14
925,colbi,14
638,mayb,14
530,live,14
25,famili,14
487,parent,14
726,put,14
348,opportun,14
301,anyth,13
48,lot,13
748,youth,13
214,member,12
408,art,12
566,skill,12
461,divers,12
902,colleg,12
798,specif,12
841,collabor,12
547,ask,12
910,sandbox,11
115,everybodi,11
182,thought,11
314,even,11
651,day,11
426,use,11
924,free,11
148,organ,10
659,teacher,10
549,imagin,10
821,voic,10
518,listen,10
126,littl,10
162,first,10
585,play,10
640,oh,10
175,capac,10
856,whatev,10
943,back,10
707,futur,10
219,build,10
428,vision,9
678,today,9
432,okay,9
871,idea,9
102,us,9
458,tri,9
114,thrive,9
634,mani,9
179,somebodi,9
610,develop,9
595,perspect,9
657,town,8
940,might,8
793,connect,8
942,new,8
587,program,8
440,common,8
663,much,8
743,keep,8
574,els,8
105,meet,8
361,word,8
308,children,8
575,biggest,8
292,certainli,8
26,young,8
444,mention,7
193,understand,7
400,high,7
164,decad,7
536,better,7
256,answer,7
844,passion,7
698,power,7
418,consensu,7
435,everyon,7
356,posit,7
939,creat,7
17,add,7
919,alway,7
661,hope,7
736,child,7
391,minut,7
474,agre,7
463,mm,7
750,stori,7
780,two,7
788,someon,7
54,came,7
602,probabl,7
450,speak,7
894,link,7
34,stand,7
275,hmm,7
37,system,7
716,mean,7
783,affirm,7
36,sorri,6
56,issu,6
471,individu,6
941,leadership,6
873,along,6
363,record,6
436,bring,6
325,order,6
33,end,6
65,engag,6
443,world,6
317,wonder,6
315,other,6
893,readi,6
511,find,6
151,decis,6
599,call,6
111,matter,6
817,blah,6
681,anoth,6
104,center,6
725,bit,6
421,committe,6
916,covid,6
617,pick,6
167,highlight,6
376,30,5
377,counti,5
398,chat,5
537,let,5
801,older,5
803,discuss,5
529,whole,5
527,effect,5
298,local,5
393,made,5
822,piec,5
513,sort,5
390,knowledg,5
868,girl,5
774,educar,5
146,team,5
884,went,5
158,saw,5
99,last,5
30,guess,5
86,support,5
616,gain,5
14,welcom,5
119,prepar,5
424,huge,5
922,particip,5
413,big,5
306,orchestra,4
89,difficult,4
810,stop,4
451,highest,4
423,risk,4
729,quit,4
611,affect,4
91,ye,4
807,never,4
495,done,4
202,heard,4
751,whenev,4
724,challeng,4
684,possibl,4
282,chair,4
278,follow,4
593,problem,4
510,experienc,4
82,wish,4
316,context,4
79,life,4
467,excit,4
6,everyth,4
776,mind,4
9,network,4
10,state,4
456,wait,4
382,20,4
662,ago,4
357,hear,4
429,succeed,4
353,busi,4
51,area,4
53,becom,4
78,10,4
630,qualiti,4
794,whether,4
795,figur,4
335,staff,4
673,abl,4
64,strong,4
768,send,4
676,leav,4
69,home,4
388,ahead,4
740,pull,4
267,accept,4
410,give,4
760,cours,4
755,unit,4
758,hand,4
561,goal,4
697,best,4
250,role,4
192,especi,4
885,thread,4
237,essenti,4
887,actual,4
715,exampl,4
160,chanc,4
544,process,4
832,grade,4
417,inform,4
244,fun,4
559,rememb,4
872,brought,4
563,climat,4
225,collect,4
763,tool,4
864,secret,4
567,sit,4
228,recogn,4
933,forum,3
541,daughter,3
427,gener,3
672,debat,3
346,shift,3
734,pleas,3
332,100,3
473,move,3
929,healthi,3
854,background,3
343,hurt,3
342,15,3
55,forward,3
221,respons,3
135,faculti,3
786,paus,3
633,watch,3
658,cortico,3
206,allow,3
7,taught,3
555,four,3
380,may,3
737,restat,3
777,citi,3
558,closet,3
950,board,3
859,straight,3
782,space,3
213,fourth,3
362,though,3
19,kennebec,3
639,friend,3
29,princip,3
358,mission,3
543,hour,3
329,certain,3
39,accord,3
867,direct,3
870,tear,3
71,fay,3
227,age,3
597,reach,3
612,form,3
762,built,3
399,includ,3
909,solut,3
752,action,3
499,basket,3
601,join,3
501,identifi,3
118,women,3
122,old,3
144,begin,3
425,exist,3
596,earli,3
594,neighbor,3
129,long,3
891,media,3
824,lvn,3
516,leader,3
439,love,3
689,unfortun,3
133,appli,3
826,consid,3
813,continu,3
445,often,3
914,pass,3
489,provid,3
850,circl,3
323,safe,3
892,greatest,3
621,servic,3
389,stuff,3
232,read,3
233,head,3
709,dream,3
568,somehow,3
174,egg,3
313,interest,3
312,felt,3
81,awesom,3
730,nurs,3
170,food,3
572,alreadi,3
166,fact,3
696,adulthood,3
496,adult,3
454,ed,2
455,publicli,2
457,troubl,2
0,grad,2
738,clear,2
682,believ,2
550,phone,2
701,complain,2
560,type,2
562,took,2
565,realiz,2
695,knew,2
578,introduc,2
579,week,2
581,hill,2
691,show,2
592,instead,2
613,middl,2
464,core,2
679,receiv,2
615,wrong,2
619,shoe,2
675,resourc,2
671,special,2
669,either,2
635,25,2
637,correct,2
665,enough,2
649,societi,2
654,restor,2
434,closest,2
540,open,2
534,total,2
528,lead,2
465,broadli,2
468,explor,2
472,frame,2
1,mock,2
478,trial,2
479,queer,2
732,vase,2
481,rich,2
482,block,2
731,environ,2
488,brain,2
497,produc,2
722,without,2
717,still,2
512,focu,2
515,email,2
517,room,2
521,pretti,2
713,enjoy,2
523,church,2
524,less,2
712,project,2
526,face,2
705,success,2
656,grow,2
433,road,2
265,address,2
906,jump,2
241,told,2
247,justic,2
839,behavior,2
838,access,2
106,sometim,2
103,hotel,2
259,purpos,2
261,alfond,2
263,lesson,2
93,primari,2
269,b,2
928,across,2
90,partner,2
279,touch,2
73,awar,2
283,second,2
926,string,2
286,audio,2
288,librari,2
816,definit,2
291,hole,2
293,base,2
66,khan,2
236,tomorrow,2
110,china,2
904,evolv,2
851,given,2
155,close,2
886,decid,2
878,feed,2
888,district,2
173,tran,2
145,quickli,2
178,strength,2
143,three,2
187,gay,2
188,beauti,2
191,invit,2
195,name,2
197,academi,2
865,pop,2
203,76,2
204,sound,2
861,kristen,2
860,major,2
209,absolut,2
211,human,2
131,org,2
128,noth,2
218,perhap,2
296,beyond,2
76,walk,2
300,progress,2
773,class,2
791,activ,2
43,forget,2
790,sinc,2
937,band,2
364,tabl,2
366,choos,2
32,workforc,2
779,teach,2
372,woman,2
373,upload,2
944,throughout,2
769,nonprofit,2
339,k12,2
765,sens,2
20,test,2
18,reason,2
949,worri,2
757,care,2
11,step,2
411,honestli,2
5,anybodi,2
419,rather,2
